cont_id,recency,frequency,monetary value,R_Quartile,F_Quartile,M_Quartile,RFMClass,Total Score,Segment
100504696,1830.0,1,801.5,2,1,1,211,4,Champions
100504698,1267.0,4,20817.5,3,3,4,334,10,Require Activation
100504700,1830.0,1,2026.0,2,1,1,211,4,Champions
100504701,1810.0,1,1500.0,2,1,1,211,4,Champions
100504703,1821.0,2,14284.0,2,2,3,223,7,Promising
100504704,1698.0,3,14180.0,2,3,3,233,8,Needs Attention
100504706,1803.0,1,23831.25,2,1,4,214,7,Promising
100504708,1545.0,1,340.0,2,1,1,211,4,Champions
100504709,1806.0,1,4295.0,2,1,2,212,5,Loyal
100504711,1802.0,1,1827.0,2,1,1,211,4,Champions
100504715,1795.0,1,6709.5,2,1,2,212,5,Loyal
100504720,1785.0,1,0.0,2,1,1,211,4,Champions
100504721,1754.0,1,5750.8,2,1,2,212,5,Loyal
100504722,1773.0,1,1905.0,2,1,1,211,4,Champions
100504723,1772.0,3,9842.800000000001,2,3,3,233,8,Needs Attention
100504724,1771.0,1,387.0,2,1,1,211,4,Champions
100504725,1429.0,17,44284.5,2,4,4,244,10,Require Activation
100504726,1764.0,1,3080.0,2,1,2,212,5,Loyal
100504729,621.0,1,0.0,3,1,1,311,5,Loyal
100504730,1764.0,1,2400.0,2,1,1,211,4,Champions
100504731,1760.0,6,8100.4,2,4,3,243,9,Require Activation
100504732,1758.0,1,0.0,2,1,1,211,4,Champions
100504733,1757.0,2,938.0,2,2,1,221,5,Loyal
100504743,1751.0,3,14052.6,2,3,3,233,8,Needs Attention
100504744,1751.0,1,0.0,2,1,1,211,4,Champions
100504745,1098.0,2,4480.0,3,2,2,322,7,Promising
100504749,425.0,2,13703.07,4,2,3,423,9,Require Activation
100504752,1742.0,1,4087.5,2,1,2,212,5,Loyal
100504756,1693.0,5,31725.699999999997,2,3,4,234,9,Require Activation
100504760,1723.0,1,8020.0,2,1,3,213,6,Potential
100504764,1717.0,1,3916.0,2,1,2,212,5,Loyal
100504766,1716.0,2,7832.0,2,2,3,223,7,Promising
100504768,1713.0,1,6966.0,2,1,2,212,5,Loyal
100504772,1697.0,2,11259.0,2,2,3,223,7,Promising
100504778,1268.0,1,378.25,3,1,1,311,5,Loyal
100504781,1694.0,1,0.0,2,1,1,211,4,Champions
100504788,1670.0,3,16675.0,2,3,4,234,9,Require Activation
100504789,293.0,2,7531.0,4,2,3,423,9,Require Activation
100504791,1658.0,7,8214.0,2,4,3,243,9,Require Activation
100504792,1601.0,4,11079.0,2,3,3,233,8,Needs Attention
100504796,1673.0,2,11895.75,2,2,3,223,7,Promising
100504800,1664.0,4,18886.0,2,3,4,234,9,Require Activation
100504804,1590.0,1,3344.75,2,1,2,212,5,Loyal
100504805,48.0,6,18427.25,4,4,4,444,12,Require Activation
100504807,1656.0,7,43581.25,2,4,4,244,10,Require Activation
100504809,1652.0,5,8466.0,2,3,3,233,8,Needs Attention
100504810,1651.0,1,5316.75,2,1,2,212,5,Loyal
100504813,1645.0,6,13277.0,2,4,3,243,9,Require Activation
100504814,1645.0,1,6379.25,2,1,2,212,5,Loyal
100504817,1640.0,3,12570.0,2,3,3,233,8,Needs Attention
100504822,1638.0,1,4925.75,2,1,2,212,5,Loyal
100504823,1637.0,1,6336.75,2,1,2,212,5,Loyal
100504828,1599.0,2,3387.25,2,2,2,222,6,Potential
100504832,1625.0,1,387.0,2,1,1,211,4,Champions
100504833,1597.0,1,2193.0,2,1,1,211,4,Champions
